gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_NULL,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000077,3,1764420191223982000,0.022016,0.45824,0.022016,173.689088,234.761472,255.785216,509.108992,5532.402944
0000000177,4,1764420191226561500,0.020736,0.315136,0.020736,171.718656,231.036416,252.386304,504.606976,5529.388032
0000000277,5,1764420191242597600,0.040192,0.340992,0.032768,155.055616,214.95168,236.283904,486.83904,509.56288
0000000078,3,1764420191724378600,0.106496,0.539904,0.09472,33.745664,303.379456,324.049152,563.327488,586.956288
0000000178,4,1764420191727011800,0.03968,0.426752,0.038912,31.14496,300.117248,320.803328,563.86432,587.213824
0000000278,5,1764420191742966000,0.034816,0.42368,0.034304,212.912384,284.179712,304.926208,547.274752,5572.70528
0000000079,3,1764420192224516000,0.141312,0.807424,0.13952,84.144896,154.104064,174.859264,409.326336,431.871232
0000000179,4,1764420192227447300,0.022272,0.396032,0.022016,80.75904,151.203328,171.924736,406.341888,428.920832
0000000279,5,1764420192243329300,0.025856,0.420352,0.0256,73.346304,330.558976,351.305728,587.29856,610.77248
0000000080,3,1764420192724798500,0.041984,0.478464,0.041728,140.611072,220.748544,242.29376,475.120896,498.593792
0000000180,4,1764420192727762000,0.037888,0.417792,0.037888,137.6384,217.201408,239.005952,474.108416,496.959488
0000000280,5,1764420192743629600,0.030464,0.379648,0.030208,98.93888,193.737984,215.064064,455.68512,479.783168
0000000081,3,1764420193224864300,0.042496,0.47488,0.04224,203.917312,264.159232,285.01376,529.000192,552.065536
0000000181,4,1764420193227904500,0.018432,0.210176,0.018176,200.77056,260.958208,282.04672,529.253376,553.356288
0000000281,5,1764420193246344000,0.02944,1.080576,0.029184,182.332928,242.75328,263.688448,516.836352,541.896704
0000000082,3,1764420193725308000,0.045568,0.49408,0.045312,66.583296,327.546624,348.053504,581.748992,607.110144
0000000182,4,1764420193728145000,0.025344,0.463616,0.025344,66.966528,325.356544,346.35904,580.320768,604.17152
0000000282,5,1764420193746150700,0.034304,1.558016,0.034048,49.356544,306.676224,327.219712,563.227648,586.201856
