gnbid,type,timestamp,MM5G_DEREGISTERED,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000453,7,1764419809273126700,0.442112,0.104192,0.103168,134.242048,416.762368,439.131392,548.3456,569.479936
0000000655,9,1764419809273644000,0.801024,0.022784,0.022272,109.922304,408.223232,429.12128,537.622272,559.101184
0000001053,13,1764419809275223600,1.533696,1.229056,1.20064,123.868416,369.460224,390.169088,529.249536,550.520064
0000000049,3,1764419809286842000,0.584704,0.061696,0.06144,101.3888,513.999872,535.257088,724.816128,746.115584
0000000549,8,1764419809288746500,1.082368,0.758272,0.748288,234.691328,580.250112,603.148544,735.660544,756.910592
0000000861,11,1764419809310048000,0.873216,0.301824,0.299776,92.473344,468.318976,489.41056,621.992192,644.827136
0000000761,10,1764419809311988500,0.342784,0.027904,0.027648,193.373952,413.20704,434.220032,597.6064,618.339328
0000000349,6,1764419809322677000,3.929088,0.020736,0.02048,216.004608,559.954688,582.019072,760.8896,783.912448
0000000260,5,1764419809337104000,0.43264,0.037376,0.03712,118.564864,464.42112,485.55776,649.192704,671.39072
0000000150,4,1764419809355344400,0.677376,0.052992,0.05248,87.87712,353.378304,375.85792,524.074752,545.16352
0000000959,12,1764419809365892600,0.38528,0.04352,0.043008,86.897152,430.497024,451.876352,609.750272,630.159872
0000000656,9,1764419809373761300,0.321024,0.039424,0.039168,75.804672,402.033408,423.299072,612.936192,635.216384
0000000454,7,1764419809374365200,0.280832,0.017408,0.017152,78.303488,336.47488,358.269696,537.979392,558.750464
0000001054,13,1764419809375614500,0.572416,0.176128,0.174592,71.736832,408.4608,430.105344,581.584896,606.95936
0000000550,8,1764419809388844000,5.228032,0.02304,0.022528,138.6752,404.830464,425.921536,588.630016,609.804288
0000000050,3,1764419809389639000,0.365056,0.068352,0.067584,176.01408,397.61664,419.905792,571.940608,595.966208
0000000862,11,1764419809411971600,0.513792,0.041984,0.041728,121.744128,468.762112,489.705728,690.956544,727.8976
0000000762,10,1764419809412113400,0.92928,0.022784,0.022272,93.849088,454.023936,475.52896,595.913472,616.922624
0000000350,6,1764419809423106300,0.737792,0.042496,0.041728,120.76416,462.87616,484.202752,687.10656,707.732224
0000000261,5,1764419809437353000,0.556544,0.036352,0.036096,90.880768,371.119616,391.866368,614.394112,635.70304
0000000151,4,1764419809455477500,0.41856,0.033024,0.032512,75.678208,539.717632,563.355648,748.7488,770.85312
0000000960,12,1764419809466354200,0.387072,0.029184,0.028928,74.624512,482.631168,505.631232,685.103616,709.601024
0000000657,9,1764419809474409200,0.943104,0.411392,0.407808,104.785408,471.47136,492.322304,630.462464,651.2768
0000000455,7,1764419809475094300,0.261632,0.0384,0.037888,112.865792,500.392448,522.447104,715.24608,738.60096
0000001055,13,1764419809475974400,0.465664,0.031744,0.031488,90.701568,340.919552,362.842112,547.130368,566.736384
0000000551,8,1764419809489167000,0.424704,0.03712,0.036864,86.84928,386.709504,407.896064,584.599552,606.190336
0000000051,3,1764419809489855700,0.992256,0.031232,0.030976,78.530816,393.365248,415.228672,608.146176,629.709056
0000000863,11,1764419809512298500,0.520448,0.097024,0.096256,72.83584,485.548032,507.176192,716.003328,739.354112
0000000763,10,1764419809512298800,0.521728,0.207616,0.207104,72.28032,589.564672,611.010304,724.768512,747.096832
0000000351,6,1764419809521409500,1.115648,0.054272,0.05376,68.909312,365.437952,387.772416,575.297536,599.961344
0000000262,5,1764419809537474000,0.332032,0.028928,0.028672,85.617152,466.141184,486.799104,642.966016,664.32
0000000152,4,1764419809555509800,0.521216,0.057344,0.056832,166.208768,624.901376,645.696256,799.880192,823.219968
0000000961,12,1764419809566829800,0.358656,0.127744,0.126464,85.711616,490.335744,512.224,729.571072,750.950144
0000000658,9,1764419809573984800,0.950784,0.019456,0.0192,52.019456,484.943872,509.334784,679.234304,700.092672
0000000456,7,1764419809575862800,0.995328,0.102912,0.101632,53.001984,407.3088,428.829952,619.277312,641.605632
0000001056,13,1764419809576504800,0.680192,0.021248,0.020992,54.659328,414.217472,435.154944,543.896064,565.63456
0000000552,8,1764419809589520100,1.116928,0.029696,0.029184,91.338752,555.489792,576.56448,741.425408,764.036352
0000000052,3,1764419809589917400,0.348928,0.015616,0.01536,54.619392,388.032256,411.092992,544.522752,566.546944
0000000764,10,1764419809612659700,0.52352,0.059904,0.059392,177.494528,545.598464,568.579328,735.980288,762.279936
0000000864,11,1764419809612680200,1.089792,0.06144,0.060928,88.756992,483.236864,503.75808,672.759808,696.519168
0000000352,6,1764419809621667300,0.432896,0.02688,0.026624,74.049024,443.652352,464.44928,628.340992,650.220288
0000000263,5,1764419809637678600,0.486144,0.032,0.031744,80.211712,443.265024,466.12224,614.923008,637.621248
0000000153,4,1764419809656041200,0.659968,0.079104,0.07808,78.203392,527.158272,549.023488,795.584,818.520832
0000000962,12,1764419809667082800,0.348672,0.02944,0.029184,133.005824,526.568704,547.623936,678.948864,703.70944
0000000659,9,1764419809674404900,0.336896,0.027904,0.027648,44.994048,513.996544,535.972352,707.612928,729.948928
0000000457,7,1764419809675785700,0.254208,0.020224,0.019968,47.181824,491.069184,513.133056,793.977088,816.005632
0000001057,13,1764419809676594200,0.4736,0.018176,0.01792,94.213888,433.530368,456.036864,571.408896,593.419008
